unitid,year,applied,admitted,enrolled,est_fte,grad_rate_150,inst_name,acceptance_rate,yield_rate,is_bowdoin
191968,2002,11305.0,6370.0,1518.0,,74.0,ITHACA COLLEGE,56.34674922600619,23.830455259026685,False
192439,2002,3338.0,2326.0,980.0,,25.7,LONG ISLAND UNIVERSITY-BROOKLYN CAMPUS,69.68244457759137,42.132416165090284,False
192448,2002,4738.0,3586.0,930.0,,47.9,LONG ISLAND UNIVERSITY-C W POST CAMPUS,75.68594343604896,25.93418851087563,False
192703,2002,3775.0,2515.0,751.0,,69.8,MANHATTAN COLLEGE,66.62251655629139,29.860834990059644,False
192749,2002,2510.0,918.0,415.0,,58.9,MANHATTANVILLE COLLEGE,36.57370517928287,45.20697167755991,False
192819,2002,6204.0,3381.0,968.0,,72.7,MARIST COLLEGE,54.497098646034814,28.630582667849747,False
193016,2002,2850.0,1379.0,873.0,,16.5,MERCY COLLEGE-MAIN CAMPUS,48.385964912280706,63.306744017403915,False
193353,2002,1361.0,1082.0,354.0,,54.2,MOUNT SAINT MARY COLLEGE,79.50036737692872,32.71719038817005,False
193584,2002,1654.0,1383.0,389.0,,70.4,NAZARETH COLLEGE OF ROCHESTER,83.61547762998791,28.12725958062184,False
193645,2002,1882.0,1415.0,1018.0,,35.6,THE COLLEGE OF NEW ROCHELLE,75.18597236981934,71.9434628975265,False
193973,2002,2703.0,2230.0,737.0,,60.2,NIAGARA UNIVERSITY,82.50092489826119,33.049327354260086,False
194091,2002,1625.0,1356.0,490.0,,51.4,NEW YORK INSTITUTE OF TECHNOLOGY-OLD WESTBURY,83.44615384615385,36.13569321533923,False
194107,2002,1213.0,879.0,282.0,,19.4,NEW YORK INSTITUTE OF TECHNOLOGY-MANHATTAN CAMPUS,72.46496290189613,32.081911262798634,False
194958,2002,703.0,579.0,243.0,,53.9,ROBERTS WESLEYAN COLLEGE,82.36130867709815,41.968911917098445,False
195003,2002,8850.0,6142.0,2341.0,,60.9,ROCHESTER INSTITUTE OF TECHNOLOGY,69.40112994350282,38.11462064474112,False
195137,2002,367.0,208.0,135.0,,34.0,THE SAGE COLLEGES-ALBANY CAMPUS,56.675749318801095,64.90384615384616,False
195164,2002,1704.0,1495.0,585.0,,70.1,SAINT BONAVENTURE UNIVERSITY,87.73474178403757,39.130434782608695,False
195234,2002,1825.0,1337.0,526.0,,68.2,THE COLLEGE OF SAINT ROSE,73.26027397260275,39.341810022438295,False
196592,2002,4373.0,2655.0,1718.0,,16.7,TOURO COLLEGE,60.713469014406584,64.70809792843691,False
197197,2002,2419.0,1619.0,524.0,,71.2,WAGNER COLLEGE,66.92848284415047,32.365657813465106,False
198136,2002,2884.0,2133.0,834.0,,55.2,CAMPBELL UNIVERSITY INC,73.95977808599167,39.09985935302391,False
198516,2002,6504.0,3232.0,1194.0,,72.4,ELON UNIVERSITY,49.69249692496925,36.943069306930695,False
198561,2002,1814.0,398.0,398.0,,57.1,GARDNER-WEBB UNIVERSITY,21.940463065049613,100.0,False
198950,2002,1061.0,913.0,394.0,,70.6,MEREDITH COLLEGE,86.05089538171536,43.15443592552026,False
200217,2002,943.0,886.0,402.0,,55.4,UNIVERSITY OF MARY,93.95546129374337,45.372460496613996,False
201104,2002,1829.0,1611.0,565.0,,64.9,ASHLAND UNIVERSITY,88.08091853471842,35.071384233395406,False
201195,2002,2193.0,1836.0,735.0,,68.3,BALDWIN-WALLACE COLLEGE,83.72093023255815,40.032679738562095,False
202763,2002,2723.0,1928.0,846.0,,61.0,THE UNIVERSITY OF FINDLAY,70.80426000734484,43.87966804979253,False
203085,2002,1675.0,1371.0,358.0,,64.0,HEIDELBERG COLLEGE,81.85074626865672,26.112326768781912,False
203368,2002,2734.0,2375.0,843.0,,79.2,JOHN CARROLL UNIVERSITY,86.86905632772495,35.49473684210526,False
203775,2002,896.0,813.0,355.0,,59.4,MALONE COLLEGE,90.73660714285714,43.665436654366545,False
205957,2002,765.0,682.0,359.0,,79.7,FRANCISCAN UNIVERSITY OF STEUBENVILLE,89.15032679738563,52.639296187683286,False
206349,2002,314.0,203.0,97.0,,48.9,URSULINE COLLEGE,64.64968152866241,47.783251231527096,False
206437,2002,920.0,730.0,302.0,,57.8,WALSH UNIVERSITY,79.34782608695652,41.369863013698634,False
